site_reference,hectares,bsi,ndvi,passes_bsi,passes_ndvi,passes_gate
67516,0.0225,0.03961,0.14598,False,True,False
68091,0.06,0.07206,0.0934,False,True,False
68954,0.16,0.04176,0.16253,False,True,False
68598,0.19,0.05222,0.17632,False,True,False
65591,0.2,0.03623,0.08438,False,True,False
69103,0.03,0.06439,0.11411,False,True,False
68196,0.04,0.01159,0.18529,False,True,False
62103,5.48,-0.21228,0.57405,False,False,False
68079,0.02,0.0113,0.199,False,True,False
68352,0.56,0.02269,0.21229,False,False,False
68593,0.23,-0.00591,0.25638,False,False,False
70161,0.106,0.04301,0.18668,False,True,False
67419,0.31,0.01351,0.22615,False,False,False
68682,0.02,0.0408,0.10558,False,True,False
68849,0.16,-0.01084,0.24713,False,False,False
68989,0.34,0.04339,0.12605,False,True,False
69031,0.02,0.02688,0.24306,False,False,False
69134,0.49,-0.1615,0.53264,False,False,False
69145,0.02,0.06708,0.08833,False,True,False
68498,0.3,0.0192,0.18615,False,True,False
70467,0.14,0.00311,0.23288,False,False,False
70427,9.4,-0.06147,0.34235,False,False,False
67346,0.6,0.03093,0.14198,False,True,False
68739,0.07,-0.00308,0.26198,False,False,False
